Payment ID,Payment Date,Invoice ID,Customer ID,Customer Name,Amount,Payment Method,Reference,Received By,Notes
PAY-000016,2026-08-12,INV-2026-000016,CUST-000484,Abubakar Lawal,383600.0,POS,DEMO-PAY-00016,Demo Administrator,Demo payment
PAY-000017,2026-06-18,INV-2026-000017,CUST-000365,Hassan Bello,153300.0,Cash,DEMO-PAY-00017,Demo Administrator,Demo payment
PAY-000018,2026-08-05,INV-2026-000018,CUST-000213,Zainab Usman,75100.0,Bank Transfer,DEMO-PAY-00018,Demo Administrator,Demo payment
PAY-000019,2026-08-10,INV-2026-000019,CUST-000040,Hassan Tanko,261900.0,POS,DEMO-PAY-00019,Demo Administrator,Demo payment
PAY-000020,2026-08-09,INV-2026-000020,CUST-000204,Rukayya Aliyu,188200.0,Cash,DEMO-PAY-00020,Demo Administrator,Demo payment
PAY-000021,2026-07-21,INV-2026-000021,CUST-000447,Musa Shehu,227800.0,Cash,DEMO-PAY-00021,Demo Administrator,Demo payment
PAY-000022,2026-06-23,INV-2026-000022,CUST-000377,Asma'u Tanko,738300.0,Cash,DEMO-PAY-00022,Demo Administrator,Demo payment
PAY-000023,2026-07-01,INV-2026-000023,CUST-000245,Khadija Usman,320000.0,POS,DEMO-PAY-00023,Demo Administrator,Demo payment
PAY-000024,2026-07-29,INV-2026-000024,CUST-000192,Umar Ibrahim,214200.0,POS,DEMO-PAY-00024,Demo Administrator,Demo payment
PAY-000025,2026-06-29,INV-2026-000025,CUST-000231,Hadiza Aliyu,725600.0,Cash,DEMO-PAY-00025,Demo Administrator,Demo payment
PAY-000026,2026-08-14,INV-2026-000026,CUST-000281,Maryam Bello,134000.0,Cash,DEMO-PAY-00026,Demo Administrator,Demo payment
PAY-000027,2026-07-29,INV-2026-000027,CUST-000069,Usman Yusuf,372300.0,Cash,DEMO-PAY-00027,Demo Administrator,Demo payment
PAY-000028,2026-07-24,INV-2026-000028,CUST-000094,Ibrahim Ibrahim,248600.0,Bank Transfer,DEMO-PAY-00028,Demo Administrator,Demo payment
PAY-000029,2026-07-13,INV-2026-000029,CUST-000133,Abubakar Usman,105300.0,Cash,DEMO-PAY-00029,Demo Administrator,Demo payment
PAY-000030,2026-07-10,INV-2026-000030,CUST-000277,Ibrahim Aliyu,197800.0,Cash,DEMO-PAY-00030,Demo Administrator,Demo payment
PAY-000031,2026-06-30,INV-2026-000031,CUST-000493,Asma'u Hassan,527000.0,Bank Transfer,DEMO-PAY-00031,Demo Administrator,Demo payment
PAY-000032,2026-07-31,INV-2026-000032,CUST-000273,Abubakar Shehu,43000.0,Bank Transfer,DEMO-PAY-00032,Demo Administrator,Demo payment
PAY-000033,2026-07-11,INV-2026-000033,CUST-000380,Umar Garba,532000.0,POS,DEMO-PAY-00033,Demo Administrator,Demo payment
PAY-000034,2026-08-19,INV-2026-000034,CUST-000072,Khadija Hassan,60000.0,Cash,DEMO-PAY-00034,Demo Administrator,Demo payment
PAY-000035,2026-07-05,INV-2026-000035,CUST-000135,Aliyu Sani,68100.0,Bank Transfer,DEMO-PAY-00035,Demo Administrator,Demo payment
PAY-000036,2026-07-12,INV-2026-000036,CUST-000111,Hadiza Bello,107200.0,Bank Transfer,DEMO-PAY-00036,Demo Administrator,Demo payment
PAY-000037,2026-07-17,INV-2026-000037,CUST-000206,Ibrahim Mohammed,126900.0,Bank Transfer,DEMO-PAY-00037,Demo Administrator,Demo payment
PAY-000038,2026-08-05,INV-2026-000038,CUST-000038,Asma'u Tanko,442300.0,POS,DEMO-PAY-00038,Demo Administrator,Demo payment
PAY-000039,2026-07-12,INV-2026-000039,CUST-000099,Aliyu Hassan,408000.0,Cash,DEMO-PAY-00039,Demo Administrator,Demo payment
PAY-000040,2026-07-20,INV-2026-000040,CUST-000245,Khadija Usman,157000.0,Bank Transfer,DEMO-PAY-00040,Demo Administrator,Demo payment
PAY-000041,2026-08-13,INV-2026-000041,CUST-000252,Khadija Mohammed,124000.0,Cash,DEMO-PAY-00041,Demo Administrator,Demo payment
PAY-000042,2026-08-15,INV-2026-000042,CUST-000212,Safiya Hassan,74000.0,Cash,DEMO-PAY-00042,Demo Administrator,Demo payment
PAY-000043,2026-08-02,INV-2026-000043,CUST-000454,Abubakar Aliyu,381800.0,Cash,DEMO-PAY-00043,Demo Administrator,Demo payment
PAY-000044,2026-06-17,INV-2026-000044,CUST-000360,Ahmed Mohammed,684600.0,Bank Transfer,DEMO-PAY-00044,Demo Administrator,Demo payment
PAY-000045,2026-06-23,INV-2026-000045,CUST-000142,Fatima Ahmad,204600.0,POS,DEMO-PAY-00045,Demo Administrator,Demo payment
PAY-000046,2026-08-11,INV-2026-000046,CUST-000154,Ibrahim Mohammed,448000.0,Cash,DEMO-PAY-00046,Demo Administrator,Demo payment
PAY-000047,2026-07-12,INV-2026-000047,CUST-000178,Muhammad Tanko,79200.0,Bank Transfer,DEMO-PAY-00047,Demo Administrator,Demo payment
PAY-000048,2026-08-07,INV-2026-000048,CUST-000504,Zainab Kabiru,98400.0,Bank Transfer,DEMO-PAY-00048,Demo Administrator,Demo payment
PAY-000049,2026-07-14,INV-2026-000049,CUST-000430,Abubakar Shehu,316400.0,POS,DEMO-PAY-00049,Demo Administrator,Demo payment
PAY-000050,2026-06-25,INV-2026-000050,CUST-000109,Abubakar Danjuma,338400.0,Cash,DEMO-PAY-00050,Demo Administrator,Demo payment
PAY-000051,2026-07-15,INV-2026-000051,CUST-000349,Rukayya Shehu,207900.0,Cash,DEMO-PAY-00051,Demo Administrator,Demo payment
PAY-000052,2026-07-23,INV-2026-000052,CUST-000236,Hassan Suleiman,44800.0,Cash,DEMO-PAY-00052,Demo Administrator,Demo payment
PAY-000053,2026-06-26,INV-2026-000053,CUST-000151,Aliyu Mohammed,574400.0,Cash,DEMO-PAY-00053,Demo Administrator,Demo payment
PAY-000054,2026-07-13,INV-2026-000054,CUST-000094,Ibrahim Ibrahim,107800.0,POS,DEMO-PAY-00054,Demo Administrator,Demo payment
PAY-000055,2026-07-07,INV-2026-000055,CUST-000165,Bello Musa,155400.0,Cash,DEMO-PAY-00055,Demo Administrator,Demo payment
PAY-000056,2026-07-25,INV-2026-000056,CUST-000156,Hussaini Usman,381300.0,POS,DEMO-PAY-00056,Demo Administrator,Demo payment
PAY-000057,2026-06-30,INV-2026-000057,CUST-000179,Usman Aliyu,349600.0,POS,DEMO-PAY-00057,Demo Administrator,Demo payment
PAY-000058,2026-07-27,INV-2026-000058,CUST-000159,Muhammad Kabiru,79400.0,Cash,DEMO-PAY-00058,Demo Administrator,Demo payment
PAY-000059,2026-08-04,INV-2026-000059,CUST-000230,Zainab Yusuf,70000.0,Cash,DEMO-PAY-00059,Demo Administrator,Demo payment
PAY-000060,2026-08-11,INV-2026-000060,CUST-000123,Khadija Ibrahim,62700.0,Cash,DEMO-PAY-00060,Demo Administrator,Demo payment
PAY-000061,2026-08-08,INV-2026-000061,CUST-000474,Safiya Kabiru,128700.0,POS,DEMO-PAY-00061,Demo Administrator,Demo payment
PAY-000062,2026-07-09,INV-2026-000062,CUST-000147,Musa Lawal,170700.0,Cash,DEMO-PAY-00062,Demo Administrator,Demo payment
PAY-000063,2026-06-22,INV-2026-000063,CUST-000448,Hadiza Suleiman,458500.0,Cash,DEMO-PAY-00063,Demo Administrator,Demo payment
PAY-000064,2026-07-06,INV-2026-000064,CUST-000034,Asma'u Suleiman,80600.0,POS,DEMO-PAY-00064,Demo Administrator,Demo payment
PAY-000065,2026-07-24,INV-2026-000065,CUST-000112,Fatima Umar,127600.0,Cash,DEMO-PAY-00065,Demo Administrator,Demo payment
PAY-000066,2026-07-21,INV-2026-000066,CUST-000063,Hadiza Abubakar,86100.0,Bank Transfer,DEMO-PAY-00066,Demo Administrator,Demo payment
PAY-000067,2026-08-02,INV-2026-000067,CUST-000415,Rukayya Lawal,379300.0,Cash,DEMO-PAY-00067,Demo Administrator,Demo payment
PAY-000068,2026-08-02,INV-2026-000068,CUST-000130,Asma'u Danjuma,292300.0,Cash,DEMO-PAY-00068,Demo Administrator,Demo payment
PAY-000069,2026-08-12,INV-2026-000069,CUST-000068,Musa Shehu,120400.0,POS,DEMO-PAY-00069,Demo Administrator,Demo payment
PAY-000070,2026-06-30,INV-2026-000070,CUST-000055,Zainab Mohammed,145100.0,POS,DEMO-PAY-00070,Demo Administrator,Demo payment
PAY-000071,2026-07-02,INV-2026-000071,CUST-000486,Zainab Ahmad,158400.0,Bank Transfer,DEMO-PAY-00071,Demo Administrator,Demo payment
PAY-000072,2026-08-03,INV-2026-000072,CUST-000375,Yusuf Ibrahim,401000.0,Cash,DEMO-PAY-00072,Demo Administrator,Demo payment
PAY-000073,2026-08-14,INV-2026-000073,CUST-000417,Hadiza Umar,46400.0,Bank Transfer,DEMO-PAY-00073,Demo Administrator,Demo payment
PAY-000074,2026-08-13,INV-2026-000074,CUST-000397,Maryam Garba,53900.0,Bank Transfer,DEMO-PAY-00074,Demo Administrator,Demo payment
PAY-000075,2026-08-05,INV-2026-000075,CUST-000182,Abubakar Abubakar,89000.0,Cash,DEMO-PAY-00075,Demo Administrator,Demo payment
PAY-000076,2026-06-22,INV-2026-000076,CUST-000163,Rukayya Mohammed,392000.0,Cash,DEMO-PAY-00076,Demo Administrator,Demo payment
PAY-000077,2026-07-13,INV-2026-000077,CUST-000141,Abdullahi Garba,144000.0,Bank Transfer,DEMO-PAY-00077,Demo Administrator,Demo payment
PAY-000078,2026-07-14,INV-2026-000078,CUST-000019,Aliyu Musa,179800.0,POS,DEMO-PAY-00078,Demo Administrator,Demo payment
PAY-000079,2026-08-15,INV-2026-000079,CUST-000233,Sani Hassan,178100.0,Bank Transfer,DEMO-PAY-00079,Demo Administrator,Demo payment
PAY-000080,2026-08-04,INV-2026-000080,CUST-000180,Aliyu Kabiru,545500.0,Cash,DEMO-PAY-00080,Demo Administrator,Demo payment
PAY-000081,2026-06-27,INV-2026-000081,CUST-000476,Khadija Tanko,312000.0,POS,DEMO-PAY-00081,Demo Administrator,Demo payment
PAY-000082,2026-08-17,INV-2026-000082,CUST-000369,Maryam Sani,120500.0,POS,DEMO-PAY-00082,Demo Administrator,Demo payment
PAY-000083,2026-07-02,INV-2026-000083,CUST-000333,Khadija Garba,263400.0,Cash,DEMO-PAY-00083,Demo Administrator,Demo payment
PAY-000084,2026-07-22,INV-2026-000084,CUST-000276,Aisha Danjuma,747000.0,POS,DEMO-PAY-00084,Demo Administrator,Demo payment
PAY-000085,2026-06-22,INV-2026-000085,CUST-000502,Aisha Sani,319800.0,Cash,DEMO-PAY-00085,Demo Administrator,Demo payment
PAY-000086,2026-08-16,INV-2026-000086,CUST-000283,Aliyu Mohammed,119000.0,Bank Transfer,DEMO-PAY-00086,Demo Administrator,Demo payment
PAY-000087,2026-07-22,INV-2026-000087,CUST-000053,Ahmed Usman,447200.0,POS,DEMO-PAY-00087,Demo Administrator,Demo payment
PAY-000088,2026-07-20,INV-2026-000088,CUST-000374,Musa Ibrahim,38800.0,Cash,DEMO-PAY-00088,Demo Administrator,Demo payment
PAY-000089,2026-07-22,INV-2026-000089,CUST-000272,Fatima Sani,112100.0,Cash,DEMO-PAY-00089,Demo Administrator,Demo payment
PAY-000090,2026-06-19,INV-2026-000090,CUST-000171,Abdullahi Suleiman,314000.0,Bank Transfer,DEMO-PAY-00090,Demo Administrator,Demo payment
PAY-000091,2026-08-17,INV-2026-000091,CUST-000411,Hassan Musa,38050.0,POS,DEMO-PAY-00091,Demo Administrator,Demo payment
PAY-000092,2026-07-26,INV-2026-000092,CUST-000046,Aisha Abubakar,270300.0,Cash,DEMO-PAY-00092,Demo Administrator,Demo payment
PAY-000093,2026-07-24,INV-2026-000093,CUST-000251,Bello Usman,132300.0,Bank Transfer,DEMO-PAY-00093,Demo Administrator,Demo payment
PAY-000094,2026-07-17,INV-2026-000094,CUST-000348,Maryam Ibrahim,148950.0,Bank Transfer,DEMO-PAY-00094,Demo Administrator,Demo payment
PAY-000095,2026-07-19,INV-2026-000095,CUST-000310,Rukayya Lawal,68400.0,POS,DEMO-PAY-00095,Demo Administrator,Demo payment
PAY-000096,2026-06-19,INV-2026-000096,CUST-000255,Sani Umar,122250.0,POS,DEMO-PAY-00096,Demo Administrator,Demo payment
PAY-000097,2026-07-06,INV-2026-000097,CUST-000453,Ahmed Tanko,239050.0,POS,DEMO-PAY-00097,Demo Administrator,Demo payment
PAY-000098,2026-06-17,INV-2026-000098,CUST-000510,Hussaini Musa,45600.0,POS,DEMO-PAY-00098,Demo Administrator,Demo payment
PAY-000099,2026-07-13,INV-2026-000099,CUST-000512,Mustapha Shehu,10500.0,POS,DEMO-PAY-00099,Demo Administrator,Demo payment
PAY-000100,2026-06-24,INV-2026-000100,CUST-000131,Sani Mohammed,8750.0,Bank Transfer,DEMO-PAY-00100,Demo Administrator,Demo payment
PAY-000101,2026-07-07,INV-2026-000101,CUST-000435,Hauwa Aliyu,282450.0,Bank Transfer,DEMO-PAY-00101,Demo Administrator,Demo payment
PAY-000102,2026-07-16,INV-2026-000102,CUST-000147,Musa Lawal,85550.0,Cash,DEMO-PAY-00102,Demo Administrator,Demo payment
PAY-000103,2026-08-04,INV-2026-000103,CUST-000065,Hassan Umar,192400.0,Cash,DEMO-PAY-00103,Demo Administrator,Demo payment
PAY-000104,2026-07-28,INV-2026-000104,CUST-000216,Muhammad Shehu,312750.0,Cash,DEMO-PAY-00104,Demo Administrator,Demo payment
PAY-000105,2026-07-01,INV-2026-000105,CUST-000486,Zainab Ahmad,301950.0,Cash,DEMO-PAY-00105,Demo Administrator,Demo payment
PAY-000106,2026-08-15,INV-2026-000121,CUST-000100,Asma'u Tanko,165000.0,Bank Transfer,,Demo Administrator,
PAY-000107,2026-08-15,INV-2026-000091,CUST-000411,Hassan Musa,38050.0,Bank Transfer,,Demo Administrator,
PAY-000108,2026-08-15,INV-2026-000092,CUST-000046,Aisha Abubakar,270300.0,Bank Transfer,,Demo Administrator,
PAY-000109,2026-08-15,INV-2026-000117,CUST-000100,Asma'u Tanko,210000.0,Bank Transfer,,Demo Administrator,
PAY-000110,2026-08-15,INV-2026-000093,CUST-000251,Bello Usman,132300.0,Bank Transfer,,Demo Administrator,
PAY-000111,2026-08-15,INV-2026-000094,CUST-000348,Maryam Ibrahim,148950.0,Bank Transfer,,Demo Administrator,
PAY-000112,2026-08-15,INV-2026-000095,CUST-000310,Rukayya Lawal,68400.0,Bank Transfer,,Demo Administrator,
PAY-000113,2026-08-15,INV-2026-000096,CUST-000255,Sani Umar,122250.0,Bank Transfer,,Demo Administrator,
PAY-000114,2026-08-15,INV-2026-000097,CUST-000453,Ahmed Tanko,239050.0,Bank Transfer,,Demo Administrator,
PAY-000115,2026-08-15,INV-2026-000098,CUST-000510,Hussaini Musa,45600.0,Bank Transfer,,Demo Administrator,
PAY-000116,2026-08-15,INV-2026-000099,CUST-000512,Mustapha Shehu,10500.0,Bank Transfer,,Demo Administrator,
PAY-000117,2026-08-15,INV-2026-000100,CUST-000131,Sani Mohammed,8750.0,Bank Transfer,,Demo Administrator,
PAY-000118,2026-08-15,INV-2026-000101,CUST-000435,Hauwa Aliyu,282450.0,Bank Transfer,,Demo Administrator,
PAY-000119,2026-08-15,INV-2026-000102,CUST-000147,Musa Lawal,85550.0,Bank Transfer,,Demo Administrator,
PAY-000120,2026-08-15,INV-2026-000103,CUST-000065,Hassan Umar,192400.0,Bank Transfer,,Demo Administrator,
PAY-000121,2026-08-15,INV-2026-000104,CUST-000216,Muhammad Shehu,312750.0,Bank Transfer,,Demo Administrator,
PAY-000122,2026-08-15,INV-2026-000105,CUST-000486,Zainab Ahmad,301950.0,Bank Transfer,,Demo Administrator,
PAY-000123,2026-08-15,INV-2026-000106,CUST-000382,Khadija Umar,333600.0,Bank Transfer,,Demo Administrator,
PAY-000124,2026-08-15,INV-2026-000107,CUST-000404,Abdullahi Usman,160500.0,Bank Transfer,,Demo Administrator,
PAY-000125,2026-08-15,INV-2026-000108,CUST-000177,Yusuf Kabiru,510900.0,Bank Transfer,,Demo Administrator,
PAY-000126,2026-08-15,INV-2026-000109,CUST-000216,Muhammad Shehu,222000.0,Bank Transfer,,Demo Administrator,
PAY-000127,2026-08-15,INV-2026-000110,CUST-000443,Muhammad Hassan,229700.0,Bank Transfer,,Demo Administrator,
