Delivery ID,Delivery Date,Truck ID,Registration Number,Driver ID,Driver Name,Customer ID,Customer Name,Sale ID,Invoice ID,Delivery Address,Route,Status,Dispatch Time,Delivery Time,Notes
DEL-2026-000012,2026-08-08,TRK-000001,KT-726-XY,DRV-000001,Demo Driver 1,CUST-000397,Maryam Garba,SALE-2026-000074,INV-2026-000074,Demo Distribution Area 6,Kano Central,Pending,2026-08-08 08:30:00,,Demo wholesale delivery
DEL-2026-000013,2026-07-18,TRK-000002,KT-947-XY,DRV-000002,Demo Driver 2,CUST-000276,Aisha Danjuma,SALE-2026-000084,INV-2026-000084,Demo Distribution Area 21,Sokoto North,Pending,2026-07-18 08:30:00,,Demo wholesale delivery
DEL-2026-000014,2026-07-20,TRK-000001,KT-726-XY,DRV-000001,Demo Driver 1,CUST-000112,Fatima Umar,SALE-2026-000065,INV-2026-000065,Demo Distribution Area 19,Kano Central,Dispatched,2026-07-20 08:30:00,,Demo wholesale delivery
DEL-2026-000015,2026-07-09,TRK-000006,KT-391-XY,DRV-000006,Demo Driver 6,CUST-000019,Aliyu Musa,SALE-2026-000078,INV-2026-000078,Demo Distribution Area 3,Gusau Route,Delivered,2026-07-09 08:30:00,2026-07-09 14:30:00,Demo wholesale delivery
DEL-2026-000016,2026-07-14,TRK-000005,KT-746-XY,DRV-000005,Demo Driver 5,CUST-000147,Musa Lawal,SALE-2026-000102,INV-2026-000102,Demo Distribution Area 8,Katsina Route,Delivered,2026-07-14 08:30:00,2026-07-14 14:30:00,Demo wholesale delivery
DEL-2026-000017,2026-06-19,TRK-000004,KT-857-XY,DRV-000004,Demo Driver 4,CUST-000448,Hadiza Suleiman,SALE-2026-000063,INV-2026-000063,Demo Distribution Area 21,Zaria Route,Delivered,2026-06-19 08:30:00,2026-06-19 14:30:00,Demo wholesale delivery
DEL-2026-000018,2026-07-13,TRK-000008,KT-918-XY,DRV-000008,Demo Driver 8,CUST-000430,Abubakar Shehu,SALE-2026-000049,INV-2026-000049,Demo Distribution Area 11,Jigawa Route,Pending,2026-07-13 08:30:00,,Demo wholesale delivery
DEL-2026-000019,2026-08-06,TRK-000002,KT-947-XY,DRV-000002,Demo Driver 2,CUST-000443,Muhammad Hassan,SALE-2026-000110,INV-2026-000110,Demo Distribution Area 17,Sokoto North,In Transit,2026-08-06 08:30:00,,Demo wholesale delivery
DEL-2026-000020,2026-08-14,TRK-000005,KT-746-XY,DRV-000005,Demo Driver 5,CUST-000212,Safiya Hassan,SALE-2026-000042,INV-2026-000042,Demo Distribution Area 9,Katsina Route,Delivered,2026-08-14 08:30:00,2026-08-14 14:30:00,Demo wholesale delivery
DEL-2026-000021,2026-08-11,TRK-000005,KT-746-XY,DRV-000005,Demo Driver 5,CUST-000123,Khadija Ibrahim,SALE-2026-000060,INV-2026-000060,Demo Distribution Area 24,Katsina Route,Dispatched,2026-08-11 08:30:00,,Demo wholesale delivery
DEL-2026-000022,2026-07-20,TRK-000001,KT-726-XY,DRV-000001,Demo Driver 1,CUST-000063,Hadiza Abubakar,SALE-2026-000066,INV-2026-000066,Demo Distribution Area 19,Kano Central,Dispatched,2026-07-20 08:30:00,,Demo wholesale delivery
DEL-2026-000023,2026-07-05,TRK-000001,KT-726-XY,DRV-000001,Demo Driver 1,CUST-000135,Aliyu Sani,SALE-2026-000035,INV-2026-000035,Demo Distribution Area 12,Kano Central,In Transit,2026-07-05 08:30:00,,Demo wholesale delivery
DEL-2026-000024,2026-07-07,TRK-000006,KT-391-XY,DRV-000006,Demo Driver 6,CUST-000178,Muhammad Tanko,SALE-2026-000047,INV-2026-000047,Demo Distribution Area 24,Gusau Route,In Transit,2026-07-07 08:30:00,,Demo wholesale delivery
DEL-2026-000025,2026-07-28,TRK-000003,KT-958-XY,DRV-000003,Demo Driver 3,CUST-000216,Muhammad Shehu,SALE-2026-000104,INV-2026-000104,Demo Distribution Area 6,Kaduna Route,Dispatched,2026-07-28 08:30:00,,Demo wholesale delivery
DEL-2026-000026,2026-08-12,TRK-000005,KT-746-XY,DRV-000005,Demo Driver 5,CUST-000068,Musa Shehu,SALE-2026-000069,INV-2026-000069,Demo Distribution Area 25,Katsina Route,Dispatched,2026-08-12 08:30:00,,Demo wholesale delivery
DEL-2026-000027,2026-07-20,TRK-000002,KT-947-XY,DRV-000002,Demo Driver 2,CUST-000156,Hussaini Usman,SALE-2026-000056,INV-2026-000056,Demo Distribution Area 14,Sokoto North,Pending,2026-07-20 08:30:00,,Demo wholesale delivery
DEL-2026-000028,2026-08-14,TRK-000004,KT-857-XY,DRV-000004,Demo Driver 4,CUST-000411,Hassan Musa,SALE-2026-000091,INV-2026-000091,Demo Distribution Area 1,Zaria Route,Dispatched,2026-08-14 08:30:00,,Demo wholesale delivery
DEL-2026-000029,2026-07-01,TRK-000006,KT-391-XY,DRV-000006,Demo Driver 6,CUST-000333,Khadija Garba,SALE-2026-000083,INV-2026-000083,Demo Distribution Area 3,Gusau Route,In Transit,2026-07-01 08:30:00,,Demo wholesale delivery
DEL-2026-000030,2026-07-19,TRK-000006,KT-391-XY,DRV-000006,Demo Driver 6,CUST-000094,Ibrahim Ibrahim,SALE-2026-000028,INV-2026-000028,Demo Distribution Area 12,Gusau Route,In Transit,2026-07-19 08:30:00,,Demo wholesale delivery
DEL-2026-000031,2026-08-02,TRK-000007,KT-214-XY,DRV-000007,Demo Driver 7,CUST-000183,Maryam Suleiman,SALE-2026-000003,INV-2026-000003,Demo Distribution Area 23,Birnin Kebbi Route,Pending,2026-08-02 08:30:00,,Demo wholesale delivery
DEL-2026-000032,2026-07-14,TRK-000003,KT-958-XY,DRV-000003,Demo Driver 3,CUST-000206,Ibrahim Mohammed,SALE-2026-000037,INV-2026-000037,Demo Distribution Area 21,Kaduna Route,In Transit,2026-07-14 08:30:00,,Demo wholesale delivery
DEL-2026-000033,2026-06-20,TRK-000002,KT-947-XY,DRV-000002,Demo Driver 2,CUST-000109,Abubakar Danjuma,SALE-2026-000050,INV-2026-000050,Demo Distribution Area 22,Sokoto North,Dispatched,2026-06-20 08:30:00,,Demo wholesale delivery
DEL-2026-000034,2026-07-24,TRK-000004,KT-857-XY,DRV-000004,Demo Driver 4,CUST-000069,Usman Yusuf,SALE-2026-000027,INV-2026-000027,Demo Distribution Area 15,Zaria Route,Delivered,2026-07-24 08:30:00,2026-07-24 14:30:00,Demo wholesale delivery
DEL-2026-000035,2026-08-10,TRK-000002,KT-947-XY,DRV-000002,Demo Driver 2,CUST-000233,Sani Hassan,SALE-2026-000079,INV-2026-000079,Demo Distribution Area 8,Sokoto North,Dispatched,2026-08-10 08:30:00,,Demo wholesale delivery
DEL-2026-000036,2026-07-18,TRK-000001,KT-726-XY,DRV-000001,Demo Driver 1,CUST-000272,Fatima Sani,SALE-2026-000089,INV-2026-000089,Demo Distribution Area 9,Kano Central,In Transit,2026-07-18 08:30:00,,Demo wholesale delivery
DEL-2026-000037,2026-08-04,TRK-000008,KT-918-XY,DRV-000008,Demo Driver 8,CUST-000230,Zainab Yusuf,SALE-2026-000059,INV-2026-000059,Demo Distribution Area 13,Jigawa Route,In Transit,2026-08-04 08:30:00,,Demo wholesale delivery
DEL-2026-000038,2026-06-26,TRK-000007,KT-214-XY,DRV-000007,Demo Driver 7,CUST-000231,Hadiza Aliyu,SALE-2026-000025,INV-2026-000025,Demo Distribution Area 3,Birnin Kebbi Route,Pending,2026-06-26 08:30:00,,Demo wholesale delivery
DEL-2026-000039,2026-08-12,TRK-000001,KT-726-XY,DRV-000001,Demo Driver 1,CUST-000068,Musa Shehu,SALE-2026-000069,INV-2026-000069,Demo Distribution Area 24,Kano Central,Dispatched,2026-08-12 08:30:00,,Demo wholesale delivery
DEL-2026-000040,2026-07-14,TRK-000005,KT-746-XY,DRV-000005,Demo Driver 5,CUST-000147,Musa Lawal,SALE-2026-000102,INV-2026-000102,Demo Distribution Area 17,Katsina Route,Delivered,2026-07-14 08:30:00,2026-07-14 14:30:00,Demo wholesale delivery
DEL-2026-000041,2026-07-20,TRK-000002,KT-947-XY,DRV-000002,Demo Driver 2,CUST-000156,Hussaini Usman,SALE-2026-000056,INV-2026-000056,Demo Distribution Area 21,Sokoto North,Delivered,2026-07-20 08:30:00,2026-07-20 14:30:00,Demo wholesale delivery
DEL-2026-000042,2026-07-18,TRK-000005,KT-746-XY,DRV-000005,Demo Driver 5,CUST-000276,Aisha Danjuma,SALE-2026-000084,INV-2026-000084,Demo Distribution Area 14,Katsina Route,Delivered,2026-07-18 08:30:00,2026-07-18 14:30:00,Demo wholesale delivery
DEL-2026-000043,2026-08-10,TRK-000006,KT-391-XY,DRV-000006,Demo Driver 6,CUST-000233,Sani Hassan,SALE-2026-000079,INV-2026-000079,Demo Distribution Area 8,Gusau Route,In Transit,2026-08-10 08:30:00,,Demo wholesale delivery
DEL-2026-000044,2026-07-12,TRK-000005,KT-746-XY,DRV-000005,Demo Driver 5,CUST-000353,Usman Danjuma,SALE-2026-000014,INV-2026-000014,Demo Distribution Area 19,Katsina Route,Delivered,2026-07-12 08:30:00,2026-07-12 14:30:00,Demo wholesale delivery
DEL-2026-000045,2026-07-20,TRK-000006,KT-391-XY,DRV-000006,Demo Driver 6,CUST-000374,Musa Ibrahim,SALE-2026-000088,INV-2026-000088,Demo Distribution Area 24,Gusau Route,Dispatched,2026-07-20 08:30:00,,Demo wholesale delivery
DEL-2026-000046,2026-07-20,TRK-000002,KT-947-XY,DRV-000002,Demo Driver 2,CUST-000236,Hassan Suleiman,SALE-2026-000052,INV-2026-000052,Demo Distribution Area 2,Sokoto North,Pending,2026-07-20 08:30:00,,Demo wholesale delivery
DEL-2026-000047,2026-07-15,TRK-000008,KT-918-XY,DRV-000008,Demo Driver 8,CUST-000348,Maryam Ibrahim,SALE-2026-000094,INV-2026-000094,Demo Distribution Area 13,Jigawa Route,Dispatched,2026-07-15 08:30:00,,Demo wholesale delivery
DEL-2026-000048,2026-06-25,TRK-000002,KT-947-XY,DRV-000002,Demo Driver 2,CUST-000179,Usman Aliyu,SALE-2026-000057,INV-2026-000057,Demo Distribution Area 5,Sokoto North,In Transit,2026-06-25 08:30:00,,Demo wholesale delivery
DEL-2026-000049,2026-07-18,TRK-000005,KT-746-XY,DRV-000005,Demo Driver 5,CUST-000272,Fatima Sani,SALE-2026-000089,INV-2026-000089,Demo Distribution Area 13,Katsina Route,In Transit,2026-07-18 08:30:00,,Demo wholesale delivery
DEL-2026-000050,2026-08-02,TRK-000002,KT-947-XY,DRV-000002,Demo Driver 2,CUST-000038,Asma'u Tanko,SALE-2026-000038,INV-2026-000038,Demo Distribution Area 5,Sokoto North,Delivered,2026-08-02 08:30:00,2026-08-02 14:30:00,Demo wholesale delivery
