Customer ID,Customer Name,Business Name,Phone,Email,Address,Customer Type,Registration Date,Account Status,Credit Status,Total Purchases,Outstanding Balance,Last Purchase,Last Purchase Date
CUST-000019,Aliyu Musa,Royal Foods Distribution Hub,8016467611.0,customer19@demo-biscuit.com,"Demo Business District, Area 15",Wholesale,2024-02-07,Active,Review,179800.0,0.0,14 Aug 2026,
CUST-000020,Safiya Abdullahi,Golden Basket Wholesale Stores,8098747837.0,customer20@demo-biscuit.com,"Demo Business District, Area 6",Wholesale,2025-06-10,Active,Review,0.0,0.0,14 Aug 2026,
CUST-000021,Zainab Danjuma,Standard Trading Enterprise,8045358813.0,customer21@demo-biscuit.com,"Demo Business District, Area 15",Distributor,2025-02-20,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000022,Bello Umar,Trusted Choice Wholesale Stores,8080423899.0,customer22@demo-biscuit.com,"Demo Business District, Area 9",Distributor,2024-03-31,Active,Good,241400.0,0.0,14 Aug 2026,
CUST-000023,Yusuf Abdullahi,Prime Choice Trading Company,8099979425.0,customer23@demo-biscuit.com,"Demo Business District, Area 6",Retailer,2026-06-17,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000024,Umar Suleiman,Unity Distribution Centre,8047644351.0,customer24@demo-biscuit.com,"Demo Business District, Area 18",Retailer,2024-06-05,Inactive,Good,0.0,0.0,14 Aug 2026,
CUST-000025,Maryam Garba,Premium Foods & Beverages,8045394922.0,customer25@demo-biscuit.com,"Demo Business District, Area 4",Retailer,2025-04-24,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000026,Asma'u Musa,Victory Wholesale Depot,8024270032.0,customer26@demo-biscuit.com,"Demo Business District, Area 17",Retailer,2025-08-27,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000027,Ibrahim Garba,Success Wholesale Depot,8065249698.0,customer27@demo-biscuit.com,"Demo Business District, Area 25",Wholesale,2025-10-24,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000028,Abubakar Sani,Royal Foods Wholesale Centre,8087373976.0,customer28@demo-biscuit.com,"Demo Business District, Area 12",Distributor,2025-08-26,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000029,Khadija Kabiru,Northern Star Food Distributors,8067193390.0,customer29@demo-biscuit.com,"Demo Business District, Area 22",Distributor,2024-01-27,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000030,Fatima Hassan,Sunrise Foods & Beverages,8013176036.0,customer30@demo-biscuit.com,"Demo Business District, Area 10",Distributor,2024-08-02,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000031,Rukayya Sani,Central Market Food Distributors,8036501061.0,customer31@demo-biscuit.com,"Demo Business District, Area 18",Distributor,2026-05-18,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000032,Hauwa Sani,Prime Choice Wholesale Centre,8098019964.0,customer32@demo-biscuit.com,"Demo Business District, Area 10",Wholesale,2026-06-15,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000033,Ahmed Shehu,Sunrise Food Distributors,8026805141.0,customer33@demo-biscuit.com,"Demo Business District, Area 6",Distributor,2025-01-05,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000034,Asma'u Suleiman,Sunrise Foods & Beverages,8082631920.0,customer34@demo-biscuit.com,"Demo Business District, Area 16",Wholesale,2025-05-13,Active,Good,80600.0,0.0,14 Aug 2026,
CUST-000035,Ahmed Tanko,Prime Choice Distribution Hub,8045597600.0,customer35@demo-biscuit.com,"Demo Business District, Area 11",Retailer,2024-10-04,Inactive,Good,0.0,0.0,14 Aug 2026,
CUST-000036,Abubakar Abdullahi,Unity General Suppliers,8030246318.0,customer36@demo-biscuit.com,"Demo Business District, Area 24",Distributor,2023-12-30,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000037,Yusuf Suleiman,Standard Foods & Beverages,8071641870.0,customer37@demo-biscuit.com,"Demo Business District, Area 21",Distributor,2025-04-02,Inactive,Review,0.0,0.0,14 Aug 2026,
CUST-000038,Asma'u Tanko,Central Market General Suppliers,8010712938.0,customer38@demo-biscuit.com,"Demo Business District, Area 12",Wholesale,2024-04-02,Inactive,Review,442300.0,0.0,14 Aug 2026,
CUST-000039,Abubakar Umar,Prime Choice Foods & Beverages,8023522643.0,customer39@demo-biscuit.com,"Demo Business District, Area 1",Distributor,2025-01-14,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000040,Hassan Tanko,Northern Star Food Distributors,8096442492.0,customer40@demo-biscuit.com,"Demo Business District, Area 22",Distributor,2026-02-03,Inactive,Good,261900.0,0.0,14 Aug 2026,
CUST-000041,Ibrahim Ibrahim,Evergreen Food Distributors,8089553785.0,customer41@demo-biscuit.com,"Demo Business District, Area 22",Distributor,2024-04-29,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000042,Hassan Garba,Excellent Foods & Beverages,8094532675.0,customer42@demo-biscuit.com,"Demo Business District, Area 1",Distributor,2024-02-28,Inactive,Review,0.0,0.0,14 Aug 2026,
CUST-000043,Mustapha Shehu,Victory Wholesale Stores,8052234585.0,customer43@demo-biscuit.com,"Demo Business District, Area 18",Wholesale,2026-02-16,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000044,Musa Ahmad,Unity Wholesale Centre,8081421559.0,customer44@demo-biscuit.com,"Demo Business District, Area 5",Distributor,2024-11-08,Inactive,Good,0.0,0.0,14 Aug 2026,
CUST-000045,Ahmed Sani,Trusted Choice Trading Company,8045241709.0,customer45@demo-biscuit.com,"Demo Business District, Area 20",Wholesale,2025-09-09,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000046,Aisha Abubakar,Prime Choice Wholesale Stores,8071194403.0,customer46@demo-biscuit.com,"Demo Business District, Area 19",Retailer,2025-07-26,Active,Good,540600.0,270300.0,14 Aug 2026,
CUST-000047,Hadiza Bello,Victory Trading Company,8053621033.0,customer47@demo-biscuit.com,"Demo Business District, Area 14",Distributor,2025-02-11,Inactive,Good,0.0,0.0,14 Aug 2026,
CUST-000048,Hussaini Abubakar,Sunrise Wholesale Depot,8056781129.0,customer48@demo-biscuit.com,"Demo Business District, Area 25",Wholesale,2024-04-29,Active,Review,0.0,0.0,14 Aug 2026,
CUST-000049,Maryam Aliyu,Royal Foods Distribution Hub,8045920556.0,customer49@demo-biscuit.com,"Demo Business District, Area 11",Distributor,2024-03-11,Active,Good,285600.0,0.0,14 Aug 2026,
CUST-000050,Abdullahi Lawal,Central Market Distribution Hub,8029255527.0,customer50@demo-biscuit.com,"Demo Business District, Area 18",Retailer,2024-05-15,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000051,Hassan Tanko,Diamond Food Distributors,8064983661.0,customer51@demo-biscuit.com,"Demo Business District, Area 11",Distributor,2026-04-08,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000052,Fatima Mohammed,Sunrise Wholesale Depot,8033215571.0,customer52@demo-biscuit.com,"Demo Business District, Area 1",Retailer,2025-10-14,Inactive,Good,0.0,0.0,14 Aug 2026,
CUST-000053,Ahmed Usman,Premium Distribution Centre,8074816118.0,customer53@demo-biscuit.com,"Demo Business District, Area 11",Distributor,2026-07-02,Active,Good,447200.0,0.0,14 Aug 2026,
CUST-000054,Khadija Sani,Unity Foods & Beverages,8047166155.0,customer54@demo-biscuit.com,"Demo Business District, Area 20",Distributor,2024-10-07,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000055,Zainab Mohammed,Excellent Wholesale Centre,8072205072.0,customer55@demo-biscuit.com,"Demo Business District, Area 7",Wholesale,2024-11-01,Active,Good,145100.0,0.0,14 Aug 2026,
CUST-000056,Ibrahim Tanko,Sunrise Wholesale Stores,8046356183.0,customer56@demo-biscuit.com,"Demo Business District, Area 14",Retailer,2026-05-30,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000057,Rukayya Ahmad,Royal Foods Trading Company,8052656849.0,customer57@demo-biscuit.com,"Demo Business District, Area 20",Retailer,2025-03-10,Active,Review,0.0,0.0,14 Aug 2026,
CUST-000058,Hussaini Hassan,Northern Star Trading Company,8044071544.0,customer58@demo-biscuit.com,"Demo Business District, Area 25",Wholesale,2025-03-24,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000059,Abdullahi Ahmad,Standard Food Distributors,8018664330.0,customer59@demo-biscuit.com,"Demo Business District, Area 24",Distributor,2024-07-05,Inactive,Restricted,0.0,0.0,14 Aug 2026,
CUST-000060,Hadiza Garba,Diamond Distribution Centre,8089971027.0,customer60@demo-biscuit.com,"Demo Business District, Area 11",Wholesale,2025-03-01,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000061,Umar Umar,Prime Choice Wholesale Stores,8080866014.0,customer61@demo-biscuit.com,"Demo Business District, Area 17",Wholesale,2024-02-06,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000062,Hauwa Mohammed,Northern Star Trading Company,8080675927.0,customer62@demo-biscuit.com,"Demo Business District, Area 5",Wholesale,2025-02-03,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000063,Hadiza Abubakar,Golden Basket Wholesale Stores,8062613627.0,customer63@demo-biscuit.com,"Demo Business District, Area 18",Retailer,2024-10-22,Inactive,Good,86100.0,0.0,14 Aug 2026,
CUST-000064,Ahmed Kabiru,Excellent Distribution Hub,8098178629.0,customer64@demo-biscuit.com,"Demo Business District, Area 19",Retailer,2026-05-13,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000065,Hassan Umar,Golden Basket Foods & Beverages,8032588066.0,customer65@demo-biscuit.com,"Demo Business District, Area 6",Retailer,2024-08-04,Active,Good,384800.0,192400.0,14 Aug 2026,
CUST-000066,Asma'u Ibrahim,Sunrise Distribution Centre,8050352315.0,customer66@demo-biscuit.com,"Demo Business District, Area 8",Distributor,2025-02-03,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000067,Ibrahim Lawal,Unity Food Distributors,8078214548.0,customer67@demo-biscuit.com,"Demo Business District, Area 2",Wholesale,2025-03-19,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000068,Musa Shehu,Premium Foods & Beverages,8035679466.0,customer68@demo-biscuit.com,"Demo Business District, Area 3",Distributor,2025-05-08,Active,Good,120400.0,0.0,14 Aug 2026,
CUST-000069,Usman Yusuf,Royal Foods Trading Company,8066636259.0,customer69@demo-biscuit.com,"Demo Business District, Area 24",Wholesale,2025-05-07,Active,Good,372300.0,0.0,14 Aug 2026,
CUST-000070,Safiya Mohammed,Central Market Trading Company,8038327121.0,customer70@demo-biscuit.com,"Demo Business District, Area 24",Retailer,2025-12-26,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000071,Umar Kabiru,Evergreen Distribution Hub,8035407316.0,customer71@demo-biscuit.com,"Demo Business District, Area 14",Wholesale,2026-06-13,Inactive,Good,0.0,0.0,14 Aug 2026,
CUST-000072,Khadija Hassan,Central Market Wholesale Depot,8046652985.0,customer72@demo-biscuit.com,"Demo Business District, Area 12",Distributor,2025-03-02,Active,Good,60000.0,0.0,14 Aug 2026,
CUST-000073,Ahmed Suleiman,Royal Foods Wholesale Depot,8099928734.0,customer73@demo-biscuit.com,"Demo Business District, Area 18",Distributor,2025-08-14,Active,Good,311100.0,311100.0,14 Aug 2026,
CUST-000074,Bello Lawal,Trusted Choice Wholesale Stores,8047059680.0,customer74@demo-biscuit.com,"Demo Business District, Area 10",Retailer,2026-06-06,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000075,Abubakar Bello,Excellent Trading Company,8087172047.0,customer75@demo-biscuit.com,"Demo Business District, Area 15",Retailer,2024-10-24,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000076,Muhammad Ibrahim,Success Wholesale Depot,8032572086.0,customer76@demo-biscuit.com,"Demo Business District, Area 18",Wholesale,2024-02-14,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000077,Abubakar Bello,Victory Distribution Centre,8030566570.0,customer77@demo-biscuit.com,"Demo Business District, Area 10",Retailer,2025-03-19,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000078,Safiya Lawal,Evergreen General Suppliers,8051958816.0,customer78@demo-biscuit.com,"Demo Business District, Area 14",Distributor,2026-06-02,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000079,Hauwa Umar,Diamond General Suppliers,8074805280.0,customer79@demo-biscuit.com,"Demo Business District, Area 17",Wholesale,2026-06-28,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000080,Aliyu Musa,Excellent Trading Company,8052127752.0,customer80@demo-biscuit.com,"Demo Business District, Area 9",Wholesale,2024-05-20,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000081,Muhammad Shehu,Premium Wholesale Stores,8059457476.0,customer81@demo-biscuit.com,"Demo Business District, Area 7",Wholesale,2024-11-21,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000082,Usman Lawal,Sunrise Trading Enterprise,8042791500.0,customer82@demo-biscuit.com,"Demo Business District, Area 7",Wholesale,2026-05-23,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000083,Fatima Hassan,Success Wholesale Depot,8014878080.0,customer83@demo-biscuit.com,"Demo Business District, Area 7",Wholesale,2024-07-21,Inactive,Good,0.0,0.0,14 Aug 2026,
CUST-000084,Bello Suleiman,Unity Wholesale Centre,8079187742.0,customer84@demo-biscuit.com,"Demo Business District, Area 21",Distributor,2023-12-01,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000085,Khadija Abubakar,Northern Star Foods & Beverages,8010980168.0,customer85@demo-biscuit.com,"Demo Business District, Area 10",Wholesale,2024-10-20,Active,Review,0.0,0.0,14 Aug 2026,
CUST-000086,Abdullahi Bello,Success Wholesale Stores,8041942283.0,customer86@demo-biscuit.com,"Demo Business District, Area 16",Wholesale,2024-03-27,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000087,Umar Yusuf,Excellent Food Distributors,8065499827.0,customer87@demo-biscuit.com,"Demo Business District, Area 13",Distributor,2024-12-22,Active,Review,0.0,0.0,14 Aug 2026,
CUST-000088,Asma'u Kabiru,Golden Basket Distribution Hub,8055243717.0,customer88@demo-biscuit.com,"Demo Business District, Area 13",Wholesale,2025-10-02,Active,Review,0.0,0.0,14 Aug 2026,
CUST-000089,Ibrahim Abdullahi,Trusted Choice Trading Enterprise,8079366151.0,customer89@demo-biscuit.com,"Demo Business District, Area 25",Retailer,2025-11-07,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000090,Asma'u Usman,Golden Basket Trading Company,8060941423.0,customer90@demo-biscuit.com,"Demo Business District, Area 3",Retailer,2024-07-30,Active,Review,0.0,0.0,14 Aug 2026,
CUST-000091,Asma'u Tanko,Trusted Choice Wholesale Stores,8097279915.0,customer91@demo-biscuit.com,"Demo Business District, Area 9",Distributor,2025-11-13,Active,Review,0.0,0.0,14 Aug 2026,
CUST-000092,Yusuf Garba,Premium Distribution Centre,8081303284.0,customer92@demo-biscuit.com,"Demo Business District, Area 1",Retailer,2026-06-15,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000093,Safiya Lawal,Premium Trading Enterprise,8091510863.0,customer93@demo-biscuit.com,"Demo Business District, Area 17",Wholesale,2023-12-02,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000094,Ibrahim Ibrahim,Northern Star Distribution Centre,8012723229.0,customer94@demo-biscuit.com,"Demo Business District, Area 15",Retailer,2024-10-29,Active,Good,356400.0,0.0,14 Aug 2026,
CUST-000095,Aliyu Abdullahi,Diamond Distribution Centre,8069571428.0,customer95@demo-biscuit.com,"Demo Business District, Area 3",Wholesale,2024-02-29,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000096,Bello Lawal,Evergreen Foods & Beverages,8049788007.0,customer96@demo-biscuit.com,"Demo Business District, Area 11",Distributor,2024-03-29,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000097,Hauwa Suleiman,Northern Star General Suppliers,8064139542.0,customer97@demo-biscuit.com,"Demo Business District, Area 8",Wholesale,2024-02-07,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000098,Musa Yusuf,Sunrise Distribution Hub,8092734355.0,customer98@demo-biscuit.com,"Demo Business District, Area 18",Retailer,2025-09-07,Inactive,Restricted,0.0,0.0,14 Aug 2026,
CUST-000099,Aliyu Hassan,Trusted Choice Trading Company,8093375073.0,customer99@demo-biscuit.com,"Demo Business District, Area 7",Wholesale,2025-09-10,Active,Review,408000.0,0.0,14 Aug 2026,
CUST-000100,Asma'u Tanko,Golden Basket Trading Company,8092119212.0,customer100@demo-biscuit.com,"Demo Business District, Area 10",Distributor,2024-06-19,Active,Restricted,210000.0,210000.0,14 Aug 2026,
CUST-000101,Fatima Usman,Excellent Foods & Beverages,8081789402.0,customer101@demo-biscuit.com,"Demo Business District, Area 17",Distributor,2025-09-25,Inactive,Restricted,0.0,0.0,14 Aug 2026,
CUST-000102,Umar Shehu,Victory Food Distributors,8067614636.0,customer102@demo-biscuit.com,"Demo Business District, Area 13",Retailer,2024-10-15,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000103,Zainab Tanko,Sunrise Wholesale Depot,8038897797.0,customer103@demo-biscuit.com,"Demo Business District, Area 6",Retailer,2025-02-27,Inactive,Review,0.0,0.0,14 Aug 2026,
CUST-000104,Aisha Umar,Sunrise Wholesale Stores,8023622906.0,customer104@demo-biscuit.com,"Demo Business District, Area 4",Wholesale,2025-12-04,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000105,Bello Kabiru,Trusted Choice Wholesale Stores,8051688779.0,customer105@demo-biscuit.com,"Demo Business District, Area 1",Retailer,2026-04-06,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000106,Asma'u Ibrahim,Diamond Food Distributors,8035592325.0,customer106@demo-biscuit.com,"Demo Business District, Area 18",Wholesale,2024-02-15,Active,Good,295200.0,0.0,14 Aug 2026,
CUST-000107,Hauwa Umar,Prime Choice Trading Enterprise,8023361977.0,customer107@demo-biscuit.com,"Demo Business District, Area 18",Distributor,2024-04-21,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000108,Ibrahim Abdullahi,Unity Trading Company,8018233182.0,customer108@demo-biscuit.com,"Demo Business District, Area 15",Distributor,2025-03-15,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000109,Abubakar Danjuma,Golden Basket Food Distributors,8080327038.0,customer109@demo-biscuit.com,"Demo Business District, Area 8",Retailer,2025-05-06,Active,Good,338400.0,0.0,14 Aug 2026,
CUST-000110,Usman Abdullahi,Standard Distribution Hub,8068338143.0,customer110@demo-biscuit.com,"Demo Business District, Area 4",Retailer,2024-08-02,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000111,Hadiza Bello,Sunrise Trading Enterprise,8092536111.0,customer111@demo-biscuit.com,"Demo Business District, Area 19",Retailer,2025-08-30,Active,Restricted,107200.0,0.0,14 Aug 2026,
CUST-000112,Fatima Umar,Excellent Food Distributors,8071752358.0,customer112@demo-biscuit.com,"Demo Business District, Area 10",Distributor,2025-05-17,Active,Good,127600.0,0.0,14 Aug 2026,
CUST-000113,Safiya Tanko,Diamond Distribution Hub,8051780902.0,customer113@demo-biscuit.com,"Demo Business District, Area 4",Distributor,2024-02-02,Inactive,Good,0.0,0.0,14 Aug 2026,
CUST-000114,Muhammad Mohammed,Premium Distribution Centre,8095609684.0,customer114@demo-biscuit.com,"Demo Business District, Area 4",Distributor,2024-09-06,Active,Review,0.0,0.0,14 Aug 2026,
CUST-000115,Khadija Danjuma,Premium Trading Company,8067792138.0,customer115@demo-biscuit.com,"Demo Business District, Area 25",Retailer,2024-08-17,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000116,Hussaini Tanko,Sunrise Wholesale Depot,8057072007.0,customer116@demo-biscuit.com,"Demo Business District, Area 9",Wholesale,2024-05-04,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000117,Umar Danjuma,Diamond Wholesale Centre,8083107466.0,customer117@demo-biscuit.com,"Demo Business District, Area 2",Retailer,2026-03-18,Active,Review,0.0,0.0,14 Aug 2026,
CUST-000118,Abdullahi Aliyu,Central Market Foods & Beverages,8040719561.0,customer118@demo-biscuit.com,"Demo Business District, Area 6",Wholesale,2026-05-25,Active,Restricted,0.0,0.0,14 Aug 2026,
CUST-000119,Zainab Lawal,Prime Choice Distribution Centre,8027037476.0,customer119@demo-biscuit.com,"Demo Business District, Area 4",Retailer,2024-01-31,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000120,Musa Bello,Success Trading Enterprise,8028378092.0,customer120@demo-biscuit.com,"Demo Business District, Area 15",Wholesale,2024-03-13,Inactive,Good,0.0,0.0,14 Aug 2026,
CUST-000121,Hadiza Garba,Sunrise Wholesale Depot,8016853657.0,customer121@demo-biscuit.com,"Demo Business District, Area 14",Retailer,2025-08-29,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000122,Khadija Suleiman,Golden Basket Distribution Centre,8087059121.0,customer122@demo-biscuit.com,"Demo Business District, Area 14",Distributor,2024-03-25,Active,Review,0.0,0.0,14 Aug 2026,
CUST-000123,Khadija Ibrahim,Victory Wholesale Centre,8035728622.0,customer123@demo-biscuit.com,"Demo Business District, Area 9",Distributor,2024-06-16,Active,Restricted,386600.0,0.0,14 Aug 2026,
CUST-000124,Hauwa Ibrahim,Royal Foods Wholesale Depot,8023831989.0,customer124@demo-biscuit.com,"Demo Business District, Area 7",Wholesale,2025-03-24,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000125,Umar Aliyu,Prime Choice Wholesale Centre,8039373764.0,customer125@demo-biscuit.com,"Demo Business District, Area 7",Distributor,2025-07-31,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000126,Hassan Suleiman,Excellent Trading Enterprise,8056670339.0,customer126@demo-biscuit.com,"Demo Business District, Area 5",Retailer,2026-01-21,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000127,Zainab Hassan,Unity Trading Enterprise,8035643766.0,customer127@demo-biscuit.com,"Demo Business District, Area 7",Distributor,2024-05-27,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000128,Aisha Bello,Success Distribution Centre,8084544554.0,customer128@demo-biscuit.com,"Demo Business District, Area 12",Wholesale,2024-02-28,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000129,Aisha Musa,Success Foods & Beverages,8023871507.0,customer129@demo-biscuit.com,"Demo Business District, Area 7",Wholesale,2025-09-03,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000130,Asma'u Danjuma,Prime Choice Trading Company,8016355989.0,customer130@demo-biscuit.com,"Demo Business District, Area 3",Distributor,2025-09-19,Active,Good,292300.0,0.0,14 Aug 2026,
CUST-000131,Sani Mohammed,Success Wholesale Stores,8094033908.0,customer131@demo-biscuit.com,"Demo Business District, Area 11",Wholesale,2026-04-09,Active,Review,279300.0,270550.0,14 Aug 2026,
CUST-000132,Fatima Danjuma,Unity Wholesale Depot,8087283649.0,customer132@demo-biscuit.com,"Demo Business District, Area 23",Retailer,2025-02-25,Active,Review,0.0,0.0,14 Aug 2026,
CUST-000133,Abubakar Usman,Standard Wholesale Depot,8080436099.0,customer133@demo-biscuit.com,"Demo Business District, Area 12",Wholesale,2024-04-19,Active,Restricted,105300.0,0.0,14 Aug 2026,
CUST-000134,Hadiza Bello,Unity Wholesale Centre,8090315720.0,customer134@demo-biscuit.com,"Demo Business District, Area 2",Distributor,2025-03-18,Active,Review,0.0,0.0,14 Aug 2026,
CUST-000135,Aliyu Sani,Evergreen Wholesale Depot,8040273896.0,customer135@demo-biscuit.com,"Demo Business District, Area 21",Wholesale,2025-12-14,Active,Good,68100.0,0.0,14 Aug 2026,
CUST-000136,Bello Abdullahi,Prime Choice Wholesale Centre,8033175402.0,customer136@demo-biscuit.com,"Demo Business District, Area 13",Retailer,2024-01-03,Active,Good,0.0,0.0,14 Aug 2026,
CUST-000137,Safiya Kabiru,Central Market Distribution Hub,8068534190.0,customer137@demo-biscuit.com,"Demo Business District, Area 18",Distributor,2025-04-28,Active,Good,0.0,0.0,14 Aug 2026,
