Record ID,Record Type,Record Number,Source Type,Record Date,Customer ID,Customer Name,Related Transaction,Description,Imported By,Import Date,Status,Notes
REC-2026-000027,Completed Sale,SALE-2026-000027,CRM Operational Archive,2026-07-24,CUST-000069,Usman Yusuf,,Sale completed for Usman Yusuf. Total: 372300.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000028,Completed Sale,SALE-2026-000028,CRM Operational Archive,2026-07-19,CUST-000094,Ibrahim Ibrahim,,Sale completed for Ibrahim Ibrahim. Total: 248600.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000029,Completed Sale,SALE-2026-000029,CRM Operational Archive,2026-07-12,CUST-000133,Abubakar Usman,,Sale completed for Abubakar Usman. Total: 105300.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000030,Completed Sale,SALE-2026-000030,CRM Operational Archive,2026-07-06,CUST-000277,Ibrahim Aliyu,,Sale completed for Ibrahim Aliyu. Total: 197800.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000031,Completed Sale,SALE-2026-000031,CRM Operational Archive,2026-06-26,CUST-000493,Asma'u Hassan,,Sale completed for Asma'u Hassan. Total: 527000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000032,Completed Sale,SALE-2026-000032,CRM Operational Archive,2026-07-28,CUST-000273,Abubakar Shehu,,Sale completed for Abubakar Shehu. Total: 43000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000033,Completed Sale,SALE-2026-000033,CRM Operational Archive,2026-07-06,CUST-000380,Umar Garba,,Sale completed for Umar Garba. Total: 532000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000034,Completed Sale,SALE-2026-000034,CRM Operational Archive,2026-08-14,CUST-000072,Khadija Hassan,,Sale completed for Khadija Hassan. Total: 60000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000035,Completed Sale,SALE-2026-000035,CRM Operational Archive,2026-07-05,CUST-000135,Aliyu Sani,,Sale completed for Aliyu Sani. Total: 68100.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000036,Completed Sale,SALE-2026-000036,CRM Operational Archive,2026-07-08,CUST-000111,Hadiza Bello,,Sale completed for Hadiza Bello. Total: 107200.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000037,Completed Sale,SALE-2026-000037,CRM Operational Archive,2026-07-14,CUST-000206,Ibrahim Mohammed,,Sale completed for Ibrahim Mohammed. Total: 126900.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000038,Completed Sale,SALE-2026-000038,CRM Operational Archive,2026-08-02,CUST-000038,Asma'u Tanko,,Sale completed for Asma'u Tanko. Total: 442300.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000039,Completed Sale,SALE-2026-000039,CRM Operational Archive,2026-07-12,CUST-000099,Aliyu Hassan,,Sale completed for Aliyu Hassan. Total: 408000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000040,Completed Sale,SALE-2026-000040,CRM Operational Archive,2026-07-20,CUST-000245,Khadija Usman,,Sale completed for Khadija Usman. Total: 157000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000041,Completed Sale,SALE-2026-000041,CRM Operational Archive,2026-08-13,CUST-000252,Khadija Mohammed,,Sale completed for Khadija Mohammed. Total: 124000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000042,Completed Sale,SALE-2026-000042,CRM Operational Archive,2026-08-14,CUST-000212,Safiya Hassan,,Sale completed for Safiya Hassan. Total: 74000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000043,Completed Sale,SALE-2026-000043,CRM Operational Archive,2026-08-02,CUST-000454,Abubakar Aliyu,,Sale completed for Abubakar Aliyu. Total: 381800.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000044,Completed Sale,SALE-2026-000044,CRM Operational Archive,2026-06-17,CUST-000360,Ahmed Mohammed,,Sale completed for Ahmed Mohammed. Total: 684600.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000045,Completed Sale,SALE-2026-000045,CRM Operational Archive,2026-06-19,CUST-000142,Fatima Ahmad,,Sale completed for Fatima Ahmad. Total: 204600.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000046,Completed Sale,SALE-2026-000046,CRM Operational Archive,2026-08-09,CUST-000154,Ibrahim Mohammed,,Sale completed for Ibrahim Mohammed. Total: 448000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000047,Completed Sale,SALE-2026-000047,CRM Operational Archive,2026-07-07,CUST-000178,Muhammad Tanko,,Sale completed for Muhammad Tanko. Total: 79200.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000048,Completed Sale,SALE-2026-000048,CRM Operational Archive,2026-08-02,CUST-000504,Zainab Kabiru,,Sale completed for Zainab Kabiru. Total: 98400.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000049,Completed Sale,SALE-2026-000049,CRM Operational Archive,2026-07-13,CUST-000430,Abubakar Shehu,,Sale completed for Abubakar Shehu. Total: 316400.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000050,Completed Sale,SALE-2026-000050,CRM Operational Archive,2026-06-20,CUST-000109,Abubakar Danjuma,,Sale completed for Abubakar Danjuma. Total: 338400.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000051,Completed Sale,SALE-2026-000051,CRM Operational Archive,2026-07-15,CUST-000349,Rukayya Shehu,,Sale completed for Rukayya Shehu. Total: 207900.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000052,Completed Sale,SALE-2026-000052,CRM Operational Archive,2026-07-20,CUST-000236,Hassan Suleiman,,Sale completed for Hassan Suleiman. Total: 44800.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000053,Completed Sale,SALE-2026-000053,CRM Operational Archive,2026-06-25,CUST-000151,Aliyu Mohammed,,Sale completed for Aliyu Mohammed. Total: 574400.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000054,Completed Sale,SALE-2026-000054,CRM Operational Archive,2026-07-10,CUST-000094,Ibrahim Ibrahim,,Sale completed for Ibrahim Ibrahim. Total: 107800.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000055,Completed Sale,SALE-2026-000055,CRM Operational Archive,2026-07-02,CUST-000165,Bello Musa,,Sale completed for Bello Musa. Total: 155400.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000056,Completed Sale,SALE-2026-000056,CRM Operational Archive,2026-07-20,CUST-000156,Hussaini Usman,,Sale completed for Hussaini Usman. Total: 381300.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000057,Completed Sale,SALE-2026-000057,CRM Operational Archive,2026-06-25,CUST-000179,Usman Aliyu,,Sale completed for Usman Aliyu. Total: 349600.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000058,Completed Sale,SALE-2026-000058,CRM Operational Archive,2026-07-26,CUST-000159,Muhammad Kabiru,,Sale completed for Muhammad Kabiru. Total: 79400.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000059,Completed Sale,SALE-2026-000059,CRM Operational Archive,2026-08-04,CUST-000230,Zainab Yusuf,,Sale completed for Zainab Yusuf. Total: 70000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000060,Completed Sale,SALE-2026-000060,CRM Operational Archive,2026-08-11,CUST-000123,Khadija Ibrahim,,Sale completed for Khadija Ibrahim. Total: 62700.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000061,Completed Sale,SALE-2026-000061,CRM Operational Archive,2026-08-07,CUST-000474,Safiya Kabiru,,Sale completed for Safiya Kabiru. Total: 128700.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000062,Completed Sale,SALE-2026-000062,CRM Operational Archive,2026-07-05,CUST-000147,Musa Lawal,,Sale completed for Musa Lawal. Total: 170700.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000063,Completed Sale,SALE-2026-000063,CRM Operational Archive,2026-06-19,CUST-000448,Hadiza Suleiman,,Sale completed for Hadiza Suleiman. Total: 458500.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000064,Completed Sale,SALE-2026-000064,CRM Operational Archive,2026-07-01,CUST-000034,Asma'u Suleiman,,Sale completed for Asma'u Suleiman. Total: 80600.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000065,Completed Sale,SALE-2026-000065,CRM Operational Archive,2026-07-20,CUST-000112,Fatima Umar,,Sale completed for Fatima Umar. Total: 127600.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000066,Completed Sale,SALE-2026-000066,CRM Operational Archive,2026-07-20,CUST-000063,Hadiza Abubakar,,Sale completed for Hadiza Abubakar. Total: 86100.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000067,Completed Sale,SALE-2026-000067,CRM Operational Archive,2026-08-01,CUST-000415,Rukayya Lawal,,Sale completed for Rukayya Lawal. Total: 379300.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000068,Completed Sale,SALE-2026-000068,CRM Operational Archive,2026-07-31,CUST-000130,Asma'u Danjuma,,Sale completed for Asma'u Danjuma. Total: 292300.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000069,Completed Sale,SALE-2026-000069,CRM Operational Archive,2026-08-12,CUST-000068,Musa Shehu,,Sale completed for Musa Shehu. Total: 120400.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000070,Completed Sale,SALE-2026-000070,CRM Operational Archive,2026-06-30,CUST-000055,Zainab Mohammed,,Sale completed for Zainab Mohammed. Total: 145100.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000071,Completed Sale,SALE-2026-000071,CRM Operational Archive,2026-06-30,CUST-000486,Zainab Ahmad,,Sale completed for Zainab Ahmad. Total: 158400.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000072,Completed Sale,SALE-2026-000072,CRM Operational Archive,2026-07-30,CUST-000375,Yusuf Ibrahim,,Sale completed for Yusuf Ibrahim. Total: 401000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000073,Completed Sale,SALE-2026-000073,CRM Operational Archive,2026-08-12,CUST-000417,Hadiza Umar,,Sale completed for Hadiza Umar. Total: 46400.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000074,Completed Sale,SALE-2026-000074,CRM Operational Archive,2026-08-08,CUST-000397,Maryam Garba,,Sale completed for Maryam Garba. Total: 53900.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000075,Completed Sale,SALE-2026-000075,CRM Operational Archive,2026-08-05,CUST-000182,Abubakar Abubakar,,Sale completed for Abubakar Abubakar. Total: 89000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000076,Completed Sale,SALE-2026-000076,CRM Operational Archive,2026-06-22,CUST-000163,Rukayya Mohammed,,Sale completed for Rukayya Mohammed. Total: 392000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000077,Completed Sale,SALE-2026-000077,CRM Operational Archive,2026-07-11,CUST-000141,Abdullahi Garba,,Sale completed for Abdullahi Garba. Total: 144000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000078,Completed Sale,SALE-2026-000078,CRM Operational Archive,2026-07-09,CUST-000019,Aliyu Musa,,Sale completed for Aliyu Musa. Total: 179800.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000079,Completed Sale,SALE-2026-000079,CRM Operational Archive,2026-08-10,CUST-000233,Sani Hassan,,Sale completed for Sani Hassan. Total: 178100.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000080,Completed Sale,SALE-2026-000080,CRM Operational Archive,2026-08-03,CUST-000180,Aliyu Kabiru,,Sale completed for Aliyu Kabiru. Total: 545500.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000081,Completed Sale,SALE-2026-000081,CRM Operational Archive,2026-06-25,CUST-000476,Khadija Tanko,,Sale completed for Khadija Tanko. Total: 312000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000082,Completed Sale,SALE-2026-000082,CRM Operational Archive,2026-08-14,CUST-000369,Maryam Sani,,Sale completed for Maryam Sani. Total: 120500.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000083,Completed Sale,SALE-2026-000083,CRM Operational Archive,2026-07-01,CUST-000333,Khadija Garba,,Sale completed for Khadija Garba. Total: 263400.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000084,Completed Sale,SALE-2026-000084,CRM Operational Archive,2026-07-18,CUST-000276,Aisha Danjuma,,Sale completed for Aisha Danjuma. Total: 747000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000085,Completed Sale,SALE-2026-000085,CRM Operational Archive,2026-06-19,CUST-000502,Aisha Sani,,Sale completed for Aisha Sani. Total: 319800.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000086,Completed Sale,SALE-2026-000086,CRM Operational Archive,2026-08-12,CUST-000283,Aliyu Mohammed,,Sale completed for Aliyu Mohammed. Total: 119000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000087,Completed Sale,SALE-2026-000087,CRM Operational Archive,2026-07-20,CUST-000053,Ahmed Usman,,Sale completed for Ahmed Usman. Total: 447200.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000088,Completed Sale,SALE-2026-000088,CRM Operational Archive,2026-07-20,CUST-000374,Musa Ibrahim,,Sale completed for Musa Ibrahim. Total: 38800.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000089,Completed Sale,SALE-2026-000089,CRM Operational Archive,2026-07-18,CUST-000272,Fatima Sani,,Sale completed for Fatima Sani. Total: 112100.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000090,Completed Sale,SALE-2026-000090,CRM Operational Archive,2026-06-16,CUST-000171,Abdullahi Suleiman,,Sale completed for Abdullahi Suleiman. Total: 314000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000091,Completed Sale,SALE-2026-000091,CRM Operational Archive,2026-08-14,CUST-000411,Hassan Musa,,Sale completed for Hassan Musa. Total: 76100.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000092,Completed Sale,SALE-2026-000092,CRM Operational Archive,2026-07-26,CUST-000046,Aisha Abubakar,,Sale completed for Aisha Abubakar. Total: 540600.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000093,Completed Sale,SALE-2026-000093,CRM Operational Archive,2026-07-19,CUST-000251,Bello Usman,,Sale completed for Bello Usman. Total: 264600.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000094,Completed Sale,SALE-2026-000094,CRM Operational Archive,2026-07-15,CUST-000348,Maryam Ibrahim,,Sale completed for Maryam Ibrahim. Total: 297900.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000095,Completed Sale,SALE-2026-000095,CRM Operational Archive,2026-07-19,CUST-000310,Rukayya Lawal,,Sale completed for Rukayya Lawal. Total: 136800.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000096,Completed Sale,SALE-2026-000096,CRM Operational Archive,2026-06-19,CUST-000255,Sani Umar,,Sale completed for Sani Umar. Total: 244500.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000097,Completed Sale,SALE-2026-000097,CRM Operational Archive,2026-07-05,CUST-000453,Ahmed Tanko,,Sale completed for Ahmed Tanko. Total: 478100.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000098,Completed Sale,SALE-2026-000098,CRM Operational Archive,2026-06-17,CUST-000510,Hussaini Musa,,Sale completed for Hussaini Musa. Total: 91200.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000099,Completed Sale,SALE-2026-000099,CRM Operational Archive,2026-07-12,CUST-000512,Mustapha Shehu,,Sale completed for Mustapha Shehu. Total: 21000.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000100,Completed Sale,SALE-2026-000100,CRM Operational Archive,2026-06-24,CUST-000131,Sani Mohammed,,Sale completed for Sani Mohammed. Total: 17500.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000101,Completed Sale,SALE-2026-000101,CRM Operational Archive,2026-07-05,CUST-000435,Hauwa Aliyu,,Sale completed for Hauwa Aliyu. Total: 564900.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000102,Completed Sale,SALE-2026-000102,CRM Operational Archive,2026-07-14,CUST-000147,Musa Lawal,,Sale completed for Musa Lawal. Total: 171100.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000103,Completed Sale,SALE-2026-000103,CRM Operational Archive,2026-08-01,CUST-000065,Hassan Umar,,Sale completed for Hassan Umar. Total: 384800.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000104,Completed Sale,SALE-2026-000104,CRM Operational Archive,2026-07-28,CUST-000216,Muhammad Shehu,,Sale completed for Muhammad Shehu. Total: 625500.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000105,Completed Sale,SALE-2026-000105,CRM Operational Archive,2026-07-01,CUST-000486,Zainab Ahmad,,Sale completed for Zainab Ahmad. Total: 603900.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
REC-2026-000106,Completed Sale,SALE-2026-000106,CRM Operational Archive,2026-08-09,CUST-000382,Khadija Umar,,Sale completed for Khadija Umar. Total: 333600.0.,Demo Administrator,2026-08-15 12:03:07,Archived,System-created archive entry; original sale remains in Sales.
