Movement ID,Date,Product ID,Product Name,Movement Type,Quantity,Reference,Source/Destination,Recorded By,Notes
STOCK-000040,2026-07-11,PROD-000020,Vanilla Cream,Stock Received,915.0,GRN-000040,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000041,2026-06-15,PROD-000021,Premium Wafer,Opening Stock,1029.0,OPEN-PROD-000021,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000042,2026-07-08,PROD-000021,Premium Wafer,Stock Received,960.0,GRN-000042,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000043,2026-06-15,PROD-000022,Family Pack,Opening Stock,1481.0,OPEN-PROD-000022,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000044,2026-07-11,PROD-000022,Family Pack,Stock Received,1150.0,GRN-000044,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000045,2026-06-15,PROD-000023,Golden Crunch,Opening Stock,2148.0,OPEN-PROD-000023,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000046,2026-07-08,PROD-000023,Golden Crunch,Stock Received,151.0,GRN-000046,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000047,2026-06-15,PROD-000024,Family Pack,Opening Stock,959.0,OPEN-PROD-000024,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000048,2026-08-10,PROD-000024,Family Pack,Stock Received,364.0,GRN-000048,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000049,2026-06-15,PROD-000025,Coconut Crunch,Opening Stock,1943.0,OPEN-PROD-000025,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000050,2026-07-02,PROD-000025,Coconut Crunch,Stock Received,1171.0,GRN-000050,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000051,2026-06-15,PROD-000026,Vanilla Cream,Opening Stock,710.0,OPEN-PROD-000026,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000052,2026-07-14,PROD-000026,Vanilla Cream,Stock Received,979.0,GRN-000052,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000053,2026-06-15,PROD-000027,Classic Crackers,Opening Stock,791.0,OPEN-PROD-000027,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000054,2026-07-30,PROD-000027,Classic Crackers,Stock Received,1087.0,GRN-000054,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000055,2026-06-15,PROD-000028,Golden Crunch,Opening Stock,749.0,OPEN-PROD-000028,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000056,2026-07-01,PROD-000028,Golden Crunch,Stock Received,1035.0,GRN-000056,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000057,2026-06-15,PROD-000029,Cocoa Sandwich,Opening Stock,1461.0,OPEN-PROD-000029,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000058,2026-07-09,PROD-000029,Cocoa Sandwich,Stock Received,614.0,GRN-000058,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000059,2026-06-15,PROD-000030,Golden Crunch,Opening Stock,1323.0,OPEN-PROD-000030,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000060,2026-07-09,PROD-000030,Golden Crunch,Stock Received,730.0,GRN-000060,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000061,2026-06-15,PROD-000031,Classic Crackers,Opening Stock,2137.0,OPEN-PROD-000031,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000062,2026-06-30,PROD-000031,Classic Crackers,Stock Received,1127.0,GRN-000062,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000063,2026-06-15,PROD-000032,Rich Chocolate,Opening Stock,1480.0,OPEN-PROD-000032,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000064,2026-07-17,PROD-000032,Rich Chocolate,Stock Received,923.0,GRN-000064,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000065,2026-06-15,PROD-000033,Coconut Crunch,Opening Stock,914.0,OPEN-PROD-000033,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000066,2026-07-27,PROD-000033,Coconut Crunch,Stock Received,702.0,GRN-000066,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000067,2026-06-15,PROD-000034,Classic Cream,Opening Stock,518.0,OPEN-PROD-000034,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000068,2026-08-04,PROD-000034,Classic Cream,Stock Received,167.0,GRN-000068,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000069,2026-06-15,PROD-000035,Milk Crunch,Opening Stock,1842.0,OPEN-PROD-000035,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000070,2026-07-11,PROD-000035,Milk Crunch,Stock Received,1038.0,GRN-000070,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000071,2026-06-15,PROD-000036,Cocoa Sandwich,Opening Stock,1502.0,OPEN-PROD-000036,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000072,2026-08-01,PROD-000036,Cocoa Sandwich,Stock Received,837.0,GRN-000072,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000073,2026-06-15,PROD-000037,Butter Delight,Opening Stock,1032.0,OPEN-PROD-000037,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000074,2026-07-15,PROD-000037,Butter Delight,Stock Received,1094.0,GRN-000074,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000075,2026-06-15,PROD-000038,Caramel Cream,Opening Stock,1547.0,OPEN-PROD-000038,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000076,2026-07-17,PROD-000038,Caramel Cream,Stock Received,1118.0,GRN-000076,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000077,2026-06-15,PROD-000039,Milk Crunch,Opening Stock,1642.0,OPEN-PROD-000039,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000078,2026-07-26,PROD-000039,Milk Crunch,Stock Received,168.0,GRN-000078,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000079,2026-06-15,PROD-000040,Strawberry Cream,Opening Stock,1148.0,OPEN-PROD-000040,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000080,2026-08-07,PROD-000040,Strawberry Cream,Stock Received,1037.0,GRN-000080,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000081,2026-06-15,PROD-000041,Caramel Cream,Opening Stock,1397.0,OPEN-PROD-000041,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000082,2026-07-28,PROD-000041,Caramel Cream,Stock Received,1155.0,GRN-000082,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000083,2026-06-15,PROD-000042,Cocoa Sandwich,Opening Stock,1427.0,OPEN-PROD-000042,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000084,2026-07-17,PROD-000042,Cocoa Sandwich,Stock Received,474.0,GRN-000084,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000085,2026-06-15,PROD-000043,Vanilla Cream,Opening Stock,1990.0,OPEN-PROD-000043,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000086,2026-08-09,PROD-000043,Vanilla Cream,Stock Received,1081.0,GRN-000086,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000087,2026-06-15,PROD-000044,Classic Crackers,Opening Stock,1828.0,OPEN-PROD-000044,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000088,2026-07-13,PROD-000044,Classic Crackers,Stock Received,645.0,GRN-000088,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000089,2026-06-15,PROD-000045,Caramel Cream,Opening Stock,1258.0,OPEN-PROD-000045,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000090,2026-08-01,PROD-000045,Caramel Cream,Stock Received,297.0,GRN-000090,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000091,2026-06-15,PROD-000046,Classic Cream,Opening Stock,2030.0,OPEN-PROD-000046,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000092,2026-08-04,PROD-000046,Classic Cream,Stock Received,942.0,GRN-000092,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000093,2026-06-15,PROD-000047,Caramel Cream,Opening Stock,1420.0,OPEN-PROD-000047,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000094,2026-08-08,PROD-000047,Caramel Cream,Stock Received,128.0,GRN-000094,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000095,2026-06-15,PROD-000048,Caramel Cream,Opening Stock,500.0,OPEN-PROD-000048,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000096,2026-07-07,PROD-000048,Caramel Cream,Stock Received,1024.0,GRN-000096,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000097,2026-06-15,PROD-000049,Caramel Cream,Opening Stock,1619.0,OPEN-PROD-000049,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000098,2026-07-05,PROD-000049,Caramel Cream,Stock Received,270.0,GRN-000098,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000099,2026-06-15,PROD-000050,Caramel Cream,Opening Stock,2125.0,OPEN-PROD-000050,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000100,2026-07-29,PROD-000050,Caramel Cream,Stock Received,507.0,GRN-000100,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000101,2026-06-15,PROD-000051,Classic Cream,Opening Stock,747.0,OPEN-PROD-000051,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000102,2026-07-10,PROD-000051,Classic Cream,Stock Received,191.0,GRN-000102,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000103,2026-06-15,PROD-000052,Caramel Cream,Opening Stock,1049.0,OPEN-PROD-000052,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000104,2026-08-04,PROD-000052,Caramel Cream,Stock Received,831.0,GRN-000104,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000105,2026-06-15,PROD-000053,Honey Crunch,Opening Stock,510.0,OPEN-PROD-000053,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000106,2026-07-02,PROD-000053,Honey Crunch,Stock Received,741.0,GRN-000106,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000107,2026-06-15,PROD-000054,Coconut Crunch,Opening Stock,1694.0,OPEN-PROD-000054,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000108,2026-06-30,PROD-000054,Coconut Crunch,Stock Received,1107.0,GRN-000108,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000109,2026-06-15,PROD-000055,Coconut Crunch,Opening Stock,1975.0,OPEN-PROD-000055,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000110,2026-07-10,PROD-000055,Coconut Crunch,Stock Received,376.0,GRN-000110,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000111,2026-06-15,PROD-000056,Chocolate Delight,Opening Stock,956.0,OPEN-PROD-000056,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000112,2026-07-07,PROD-000056,Chocolate Delight,Stock Received,1068.0,GRN-000112,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000113,2026-06-15,PROD-000057,Family Pack,Opening Stock,768.0,OPEN-PROD-000057,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000114,2026-07-26,PROD-000057,Family Pack,Stock Received,1133.0,GRN-000114,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000115,2026-06-15,PROD-000058,Family Pack,Opening Stock,672.0,OPEN-PROD-000058,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000116,2026-07-02,PROD-000058,Family Pack,Stock Received,955.0,GRN-000116,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000117,2026-06-15,PROD-000059,Vanilla Cream,Opening Stock,827.0,OPEN-PROD-000059,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000118,2026-07-07,PROD-000059,Vanilla Cream,Stock Received,377.0,GRN-000118,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000119,2026-06-15,PROD-000060,Honey Crunch,Opening Stock,1126.0,OPEN-PROD-000060,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000120,2026-07-18,PROD-000060,Honey Crunch,Stock Received,1139.0,GRN-000120,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000121,2026-06-15,PROD-000061,Caramel Cream,Opening Stock,1299.0,OPEN-PROD-000061,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000122,2026-07-11,PROD-000061,Caramel Cream,Stock Received,404.0,GRN-000122,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000123,2026-06-15,PROD-000062,Cocoa Sandwich,Opening Stock,2152.0,OPEN-PROD-000062,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000124,2026-07-20,PROD-000062,Cocoa Sandwich,Stock Received,502.0,GRN-000124,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000125,2026-06-15,PROD-000063,Caramel Cream,Opening Stock,528.0,OPEN-PROD-000063,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000126,2026-07-20,PROD-000063,Caramel Cream,Stock Received,317.0,GRN-000126,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000127,2026-06-15,PROD-000064,Classic Crackers,Opening Stock,650.0,OPEN-PROD-000064,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000128,2026-07-22,PROD-000064,Classic Crackers,Stock Received,205.0,GRN-000128,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000129,2026-06-15,PROD-000065,Classic Cream,Opening Stock,1823.0,OPEN-PROD-000065,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000130,2026-08-12,PROD-000065,Classic Cream,Stock Received,823.0,GRN-000130,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000131,2026-06-15,PROD-000066,Cocoa Sandwich,Opening Stock,552.0,OPEN-PROD-000066,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000132,2026-07-14,PROD-000066,Cocoa Sandwich,Stock Received,1145.0,GRN-000132,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000133,2026-06-15,PROD-000067,Classic Cream,Opening Stock,1171.0,OPEN-PROD-000067,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000134,2026-07-16,PROD-000067,Classic Cream,Stock Received,721.0,GRN-000134,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000135,2026-06-15,PROD-000068,Butter Delight,Opening Stock,1167.0,OPEN-PROD-000068,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000136,2026-07-13,PROD-000068,Butter Delight,Stock Received,348.0,GRN-000136,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000137,2026-06-15,PROD-000069,Family Pack,Opening Stock,1455.0,OPEN-PROD-000069,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000138,2026-08-04,PROD-000069,Family Pack,Stock Received,449.0,GRN-000138,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000139,2026-06-15,PROD-000070,Strawberry Cream,Opening Stock,1710.0,OPEN-PROD-000070,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000140,2026-07-31,PROD-000070,Strawberry Cream,Stock Received,1164.0,GRN-000140,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000141,2026-06-15,PROD-000071,Caramel Cream,Opening Stock,1388.0,OPEN-PROD-000071,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000142,2026-07-15,PROD-000071,Caramel Cream,Stock Received,788.0,GRN-000142,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000143,2026-06-15,PROD-000072,Rich Chocolate,Opening Stock,1725.0,OPEN-PROD-000072,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000144,2026-07-01,PROD-000072,Rich Chocolate,Stock Received,577.0,GRN-000144,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000145,2026-06-15,PROD-000073,Vanilla Cream,Opening Stock,1955.0,OPEN-PROD-000073,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000146,2026-07-09,PROD-000073,Vanilla Cream,Stock Received,242.0,GRN-000146,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000147,2026-06-15,PROD-000074,Premium Wafer,Opening Stock,1317.0,OPEN-PROD-000074,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000148,2026-08-01,PROD-000074,Premium Wafer,Stock Received,169.0,GRN-000148,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000149,2026-06-15,PROD-000075,Vanilla Cream,Opening Stock,1825.0,OPEN-PROD-000075,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000150,2026-08-11,PROD-000075,Vanilla Cream,Stock Received,455.0,GRN-000150,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000151,2026-06-15,PROD-000076,Golden Crunch,Opening Stock,1827.0,OPEN-PROD-000076,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000152,2026-07-16,PROD-000076,Golden Crunch,Stock Received,198.0,GRN-000152,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000153,2026-06-15,PROD-000077,Caramel Cream,Opening Stock,2045.0,OPEN-PROD-000077,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000154,2026-07-14,PROD-000077,Caramel Cream,Stock Received,486.0,GRN-000154,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000155,2026-06-15,PROD-000078,Honey Crunch,Opening Stock,1956.0,OPEN-PROD-000078,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000156,2026-08-05,PROD-000078,Honey Crunch,Stock Received,141.0,GRN-000156,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000157,2026-06-15,PROD-000079,Butter Delight,Opening Stock,1822.0,OPEN-PROD-000079,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000158,2026-07-31,PROD-000079,Butter Delight,Stock Received,1185.0,GRN-000158,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000159,2026-06-15,PROD-000080,Family Pack,Opening Stock,2108.0,OPEN-PROD-000080,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000160,2026-08-05,PROD-000080,Family Pack,Stock Received,1158.0,GRN-000160,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000161,2026-06-15,PROD-000081,Milk Crunch,Opening Stock,828.0,OPEN-PROD-000081,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000162,2026-07-20,PROD-000081,Milk Crunch,Stock Received,480.0,GRN-000162,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000163,2026-06-15,PROD-000082,Rich Chocolate,Opening Stock,1058.0,OPEN-PROD-000082,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000164,2026-07-10,PROD-000082,Rich Chocolate,Stock Received,971.0,GRN-000164,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000165,2026-06-15,PROD-000083,Caramel Cream,Opening Stock,1348.0,OPEN-PROD-000083,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000166,2026-07-20,PROD-000083,Caramel Cream,Stock Received,261.0,GRN-000166,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000167,2026-06-15,PROD-000084,Golden Crunch,Opening Stock,1124.0,OPEN-PROD-000084,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000168,2026-07-22,PROD-000084,Golden Crunch,Stock Received,483.0,GRN-000168,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000169,2026-06-15,PROD-000085,Cocoa Sandwich,Opening Stock,857.0,OPEN-PROD-000085,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000170,2026-07-15,PROD-000085,Cocoa Sandwich,Stock Received,639.0,GRN-000170,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000171,2026-06-15,PROD-000086,Coconut Crunch,Opening Stock,1519.0,OPEN-PROD-000086,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000172,2026-07-26,PROD-000086,Coconut Crunch,Stock Received,951.0,GRN-000172,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000173,2026-06-15,PROD-000087,Family Pack,Opening Stock,1457.0,OPEN-PROD-000087,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000174,2026-07-24,PROD-000087,Family Pack,Stock Received,462.0,GRN-000174,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000175,2026-06-15,PROD-000088,Milk Crunch,Opening Stock,1563.0,OPEN-PROD-000088,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000176,2026-07-16,PROD-000088,Milk Crunch,Stock Received,1087.0,GRN-000176,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000177,2026-06-15,PROD-000089,Chocolate Delight,Opening Stock,745.0,OPEN-PROD-000089,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000178,2026-07-11,PROD-000089,Chocolate Delight,Stock Received,1179.0,GRN-000178,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000179,2026-06-15,PROD-000090,Cocoa Sandwich,Opening Stock,2131.0,OPEN-PROD-000090,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000180,2026-08-07,PROD-000090,Cocoa Sandwich,Stock Received,660.0,GRN-000180,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000181,2026-06-15,PROD-000091,Premium Wafer,Opening Stock,938.0,OPEN-PROD-000091,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000182,2026-08-13,PROD-000091,Premium Wafer,Stock Received,573.0,GRN-000182,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000183,2026-06-15,PROD-000092,Vanilla Cream,Opening Stock,690.0,OPEN-PROD-000092,Main Warehouse,Demo Administrator,Initial demo stock
STOCK-000184,2026-07-03,PROD-000092,Vanilla Cream,Stock Received,1030.0,GRN-000184,Main Warehouse,Demo Administrator,Demo replenishment
STOCK-000185,2026-06-15,PROD-000093,Caramel Cream,Opening Stock,1176.0,OPEN-PROD-000093,Main Warehouse,Demo Administrator,Initial demo stock
